Name,Team,Season,Age,G,PA,AB,HR,AVG,OBP,SLG,OPS,ISO,BABIP,wOBA,xwOBA,wRC+,WAR,K%,BB%,Barrel%,HardHit%,EV,O-Swing%,Z-Contact%,Contact%,SwStr%,Spd
Trent Grisham,NYY,2026,29.0,66.0,264.0,224.0,8.0,0.232142857,0.34090909,0.40625,0.74715909,0.174107143,0.25,0.33203801625605783,0.3598615183974757,112.31601208684725,0.8757763613198779,0.159090909,0.143939393,0.11956522,0.45652174,90.6820652173913,0.195,0.9389313,0.85224274,0.05308057,6.082516154404286
Esmerlyn Valdez,PIT,2026,22.0,18.0,59.0,53.0,6.0,0.301886792,0.372881355,0.716981132,1.089862487,0.41509434,0.37037037,0.45554582143233996,0.403308933064089,190.8650128082556,0.8626042886756305,0.33898305,0.101694915,0.3030303,0.57575758,92.32120768229167,0.28169014,0.69565217,0.64220183,0.15853659,1.47098214
Kyle Tucker,LAD,2026,29.0,81.0,344.0,293.0,7.0,0.238907849,0.343023255,0.37883959,0.721862845,0.139931741,0.29032258,0.32398786846288413,0.3306241811707962,104.5798327831102,0.8585978976251721,0.209302325,0.13372093,0.05803571,0.39732143,89.05516045403587,0.28050314,0.87330317,0.78496241,0.10354815,5.690496359808886
Chandler Simpson,TBR,2026,25.0,80.0,320.0,295.0,0.0,0.27118644,0.311111111,0.325423728,0.636534839,0.054237288,0.301886792,0.2846433189180162,0.2587642608348196,77.74135692595408,0.8504001633366214,0.1,0.05625,0.0,0.14074074,84.2936015625,0.31186441,0.94594595,0.91458333,0.03875236,6.392324454259878
Joey Wiemer,WSN,2026,27.0,32.0,83.0,70.0,3.0,0.285714285,0.397590361,0.514285714,0.911876075,0.228571429,0.447368421,0.3972829989640109,0.3148407354587462,153.49086368367085,0.8460856748283362,0.34939759,0.144578313,0.09756098,0.3902439,88.77435772235577,0.28140704,0.84615385,0.69402985,0.12238806,7.015829983356596
Ryan Kreidler,MIN,2026,28.0,44.0,116.0,104.0,5.0,0.278846153,0.353448275,0.490384615,0.84383289,0.211538462,0.307692307,0.3669903298904156,0.32996897861875335,134.42087686569687,0.832142824637231,0.181034482,0.094827586,0.09638554,0.3253012,87.6349421121988,0.30165289,0.79591837,0.70909091,0.14611872,5.147242016131564
Esteury Ruiz,MIA,2026,27.0,51.0,101.0,86.0,4.0,0.244186046,0.34,0.488372093,0.828372093,0.244186047,0.320754716,0.35856560707092283,0.29109777450561525,126.04456132051885,0.8088310236198932,0.297029702,0.08910891,0.06896552,0.29310345,86.20727095170454,0.33476395,0.83606557,0.7,0.14778325,9.339782770523309
Kyle Stowers,MIA,2026,28.0,63.0,267.0,234.0,8.0,0.23076923,0.319548872,0.427350427,0.746899299,0.196581197,0.323943661,0.3253373783646208,0.3289063482573538,103.65046241540973,0.7838742310981999,0.318352059,0.093632958,0.11258278,0.52980132,91.08133463541667,0.37601297,0.81939799,0.65725047,0.18001978,4.544536920440935
Ryan O'Hearn,PIT,2026,32.0,72.0,295.0,269.0,13.0,0.286245353,0.342372881,0.472118959,0.81449184,0.185873606,0.333333333,0.35332820447934726,0.3257083763070658,121.97565237551812,0.7831490638207868,0.223728813,0.074576271,0.06341463,0.43902439,89.6609756097561,0.34281437,0.88853503,0.80294659,0.0919244,2.6083930863937814
Samad Taylor,SDP,2026,27.0,22.0,91.0,78.0,1.0,0.333333333,0.415730337,0.41025641,0.825986747,0.076923077,0.490196078,0.37184916185529043,0.3234934646092104,140.04560035572288,0.7709192259897295,0.285714285,0.12087912,0.03703704,0.24074074,85.02391516644022,0.27488152,0.91780822,0.77862595,0.08055556,7.332357212653356
Daniel Schneemann,CLE,2026,29.0,71.0,240.0,218.0,6.0,0.21559633,0.2875,0.344036697,0.631536697,0.128440367,0.288732394,0.28299015189210575,0.29342609868388797,78.68760975848623,0.7508756171615293,0.291666666,0.091666666,0.07432432,0.38513514,87.98163132440476,0.3540146,0.84115523,0.70063694,0.14810924,3.820327613070104
Leody Taveras,BAL,2026,27.0,75.0,269.0,234.0,3.0,0.247863247,0.32442748,0.371794871,0.696222351,0.123931624,0.329341317,0.31030953066949624,0.2911857224972312,97.71172426021164,0.7456066397663897,0.241635687,0.096654275,0.04519774,0.31073446,87.45366091844512,0.31852986,0.88028169,0.76219512,0.10893855,7.212622670007592
Troy Johnston,COL,2026,29.0,78.0,287.0,256.0,3.0,0.3125,0.377622377,0.43359375,0.811216127,0.12109375,0.373786407,0.35882610937098525,0.33322130122654875,113.98353550197334,0.7000617839245018,0.170731707,0.083623693,0.02380952,0.37142857,89.30390625,0.375,0.90344828,0.78834951,0.10654936,2.638808425458395
Lars Nootbaar,STL,2026,28.0,22.0,88.0,75.0,2.0,0.293333333,0.386363636,0.453333333,0.839696969,0.16,0.37037037,0.36550978682507046,0.37720835486123727,134.19225348407372,0.6834551756962546,0.227272727,0.136363636,0.125,0.57142857,94.0,0.24489796,0.89333333,0.81300813,0.06515581,4.210759248691607
Ryan Vilade,TBR,2026,27.0,48.0,144.0,126.0,6.0,0.277777777,0.342657342,0.484126984,0.826784326,0.206349207,0.308510638,0.3558103358828938,0.32179913050691844,126.6174907622843,0.6501918097069235,0.201388888,0.090277777,0.05940594,0.38613861,89.4000019929847,0.30395137,0.90710383,0.82685512,0.08390411,5.085442378518563
Luke Raley,SEA,2026,31.0,73.0,227.0,206.0,14.0,0.237864077,0.302222222,0.485436893,0.787659115,0.247572816,0.294117647,0.33898271806538105,0.35716680118015837,122.52750277602512,0.6324686395975494,0.321585903,0.057268722,0.17037037,0.48148148,90.93817092080153,0.36538462,0.72241993,0.60721868,0.20856821,3.1524094197413666
Jose Siri,LAA,2026,30.0,35.0,82.0,72.0,4.0,0.263888888,0.325,0.472222222,0.797222222,0.208333334,0.3125,0.34496019333600997,0.3268191422088237,118.86778528989947,0.6295975949831379,0.25609756,0.073170731,0.12962963,0.37037037,87.43529794730392,0.44751381,0.79069767,0.66467066,0.18181818,4.07491812938289
Michael Conforto,CHC,2026,33.0,56.0,140.0,121.0,7.0,0.247933884,0.342857142,0.504132231,0.846989373,0.256198347,0.306666666,0.3627939704510805,0.3583895456876686,132.0083831815412,0.6209897428755264,0.285714285,0.128571428,0.14634146,0.48780488,92.8182938738567,0.28313253,0.87662338,0.73790323,0.11403509,3.073563891834109
Blake Dunn,CIN,2026,27.0,38.0,155.0,142.0,2.0,0.28169014,0.33548387,0.387323943,0.722807813,0.105633803,0.351851851,0.32072708222173874,0.2799150863749869,97.02593110292034,0.60900341183451,0.212903225,0.064516129,0.02727273,0.3,89.12917073567708,0.3030303,0.90740741,0.79761905,0.09289617,5.7969830621860226
Jake Mangum,PIT,2026,30.0,66.0,211.0,192.0,1.0,0.302083333,0.350961538,0.359375,0.710336538,0.057291667,0.37012987,0.3173514570015064,0.28089448882312307,97.72919468967405,0.5904845553227793,0.180094786,0.056872037,0.01265823,0.26582278,83.94026583473155,0.49464668,0.88372093,0.82511211,0.10103627,5.0495430040628575
Cedric Mullins,TBR,2026,31.0,72.0,281.0,245.0,9.0,0.212244897,0.29090909,0.346938775,0.637847865,0.134693878,0.236263736,0.2860866379737854,0.2691985126790965,78.7326005995946,0.5889942355359605,0.199288256,0.081850533,0.04060914,0.30964467,88.42762646754143,0.32403101,0.87306502,0.79699248,0.09809264,5.245114807979337
Austin Martin,MIN,2026,27.0,77.0,257.0,220.0,2.0,0.24090909,0.346303501,0.318181818,0.664485319,0.077272728,0.294797687,0.3072214147460136,0.3079459045647647,93.37273939364626,0.580190740280304,0.178988326,0.120622568,0.02285714,0.28,86.73815141799133,0.20477816,0.89928058,0.81658291,0.07213439,3.9392261562558453
Cole Carrigg,COL,2026,24.0,20.0,77.0,64.0,3.0,0.265625,0.368421052,0.484375,0.852796052,0.21875,0.304347826,0.3705339965067412,0.3509982008683054,121.87404284154292,0.5785579316585637,0.207792207,0.129870129,0.06,0.34,85.77707926432292,0.40909091,0.85057471,0.76100629,0.12969283,6.260859606271814
Jackson Merrill,SDP,2026,23.0,82.0,346.0,317.0,8.0,0.211356466,0.271137026,0.340694006,0.611831032,0.12933754,0.264573991,0.2699155506849988,0.3045701643999885,71.3476450575668,0.5726408392030647,0.248554913,0.072254335,0.09401709,0.46581197,89.91096148574562,0.38112745,0.84897025,0.7513369,0.13616398,6.304068354635938
Alex Call,LAD,2026,31.0,51.0,126.0,105.0,1.0,0.266666666,0.373015873,0.342857142,0.715873015,0.076190476,0.306818181,0.3281277408675542,0.28375247192382813,107.36989158835522,0.5680069824216438,0.142857142,0.126984126,0.02247191,0.17977528,83.73295454545455,0.22772277,0.92814371,0.87711864,0.05291971,3.159324138085319
