Name,Team,Season,Age,G,PA,AB,H,HR,AVG,OBP,SLG,OPS,ISO,BABIP,wOBA,xwOBA,wRC+,WAR,K%,BB%,Barrel%,HardHit%,EV,maxEV,LA,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,SwStr%,GB%,FB%,LD%,Pull%,Cent%,Oppo%,Spd,BaseRunning,UBR,wBsR,Defense,Fielding,Offense
Cristian Pache,PHI,2023,24.0,48.0,95.0,84.0,20.0,2.0,0.238095238,0.319148936,0.416666666,0.735815602,0.178571428,0.327272727,0.3198700661354877,0.31288090158016124,98.1059445878854,0.4497397811369961,0.284210526,0.105263157,0.06896552,0.44827586,89.86296477141204,108.2,8.62962962962963,0.27570093,0.7202381,0.47120419,0.57627119,0.72727273,0.67777778,0.15064935,0.444444444,0.277777777,0.277777777,0.48275862,0.25862069,0.25862069,5.418778015043764,-0.08522304706275463,0.09999999403953552,-1.0203365962952375,1.5891517102718353,2.076120138168335,-0.30813571186646027
Hunter Renfroe,- - -,2023,31.0,140.0,548.0,498.0,116.0,20.0,0.232931726,0.297445255,0.41566265,0.713107905,0.182730924,0.269662921,0.30803130501813264,0.2892399763359743,92.94865886192125,0.4475715408535579,0.228102189,0.08029197,0.06117021,0.38829787,88.25951624811495,113.2,15.005361930294907,0.36349206,0.72565321,0.50856327,0.62445415,0.85761047,0.75771749,0.12280702,0.425531914,0.401595744,0.17287234,0.49202128,0.32446809,0.18351064,1.30357142125,-1.5974670201539993,0.4000000059604645,-0.8629738464951515,-7.8138187527656555,-1.3066179752349854,-6.374535054803717
Andrew Vaughn,CHW,2023,25.0,152.0,615.0,566.0,146.0,21.0,0.25795053,0.313821138,0.429328621,0.743149759,0.171378091,0.299043062,0.32138382700400625,0.31857654602547003,103.45716630229545,0.43747076078437375,0.209756097,0.058536585,0.08428246,0.46469248,90.63712806093395,111.7,11.157175398633257,0.34928571,0.66630316,0.47475183,0.6400818,0.89361702,0.78090909,0.10396894,0.444191343,0.359908883,0.195899772,0.39407745,0.33712984,0.26879271,2.05357142125,-4.5067168045789,-4.100000023841858,-1.0787173081189394,-14.618862867355347,-3.215113401412964,-1.9591360156082098
Brenton Doyle,COL,2023,25.0,126.0,431.0,399.0,81.0,10.0,0.203007518,0.25,0.343358395,0.593358395,0.140350877,0.294605809,0.2573041712569299,0.257578818451071,44.2823275436557,0.4359826289448717,0.350348027,0.051044083,0.08661417,0.3503937,88.26050420168067,111.0,11.676470588235293,0.35146899,0.7514881,0.5204274,0.45510836,0.7980198,0.66425121,0.17462312,0.468619246,0.347280334,0.184100418,0.42519685,0.33858268,0.23622047,8.136687800862102,3.153258515521884,1.3999999538064003,1.7040204536169767,16.319016575813293,14.563758850097656,-26.596859578247496
Tyler Heineman,- - -,2023,32.0,22.0,47.0,38.0,9.0,0.0,0.236842105,0.382978723,0.315789473,0.698768196,0.078947368,0.3,0.3251831975389034,0.3280048776180186,106.58924240628347,0.43091374184933257,0.170212765,0.170212765,0.0,0.26666667,82.12856837681362,103.6,22.035714285714285,0.34234234,0.62857143,0.45303867,0.71052632,0.93181818,0.82926829,0.07692308,0.321428571,0.392857142,0.285714285,0.36666667,0.4,0.23333333,6.623533494961507,0.5417261607944965,0.7000000104308128,0.07671802490949631,1.852340281009674,0.7635200172662735,0.8677822303323268
Christian Bethancourt,TBR,2023,31.0,104.0,332.0,315.0,71.0,11.0,0.225396825,0.253776435,0.38095238,0.634728815,0.155555555,0.277777777,0.2713703585175229,0.2652915424450647,72.88087418977682,0.4280979824136059,0.274096385,0.039156626,0.07894737,0.40789474,88.61741420200893,109.2,11.236607142857142,0.47619048,0.78651685,0.59322034,0.52,0.8,0.66,0.20084388,0.486607142,0.375,0.138392857,0.50438596,0.31578947,0.17982456,3.702185428804372,-1.247502242680639,-0.10000002384185791,-0.23919204389676452,5.010999381542206,-1.8277066349983215,-12.035636631372753
Rob Refsnyder,BOS,2023,32.0,89.0,243.0,202.0,50.0,1.0,0.247524752,0.365145228,0.316831683,0.681976911,0.069306931,0.316129032,0.3144421527989178,0.34362651921120013,94.65037571757821,0.4205581266024701,0.193415637,0.135802469,0.03797468,0.34177215,87.66818435470779,106.8,11.915584415584416,0.21238938,0.64464692,0.40139442,0.66666667,0.84805654,0.79404467,0.08242304,0.429487179,0.301282051,0.269230769,0.42675159,0.40127389,0.17197452,5.39491398150881,0.5634435680694878,-0.3999999761581421,-0.037450585048645735,-3.0720969438552856,-0.544662356376648,-0.9941786500499985
Josh Bell,- - -,2023,30.0,150.0,617.0,547.0,135.0,22.0,0.246800731,0.325203252,0.418647166,0.743850418,0.171846435,0.28680203,0.3227294126303705,0.34293585966764806,103.68582736228824,0.4185188759401044,0.217179902,0.102106969,0.10047847,0.42822967,90.06310442581918,114.0,9.266990291262136,0.31132075,0.73516949,0.47611203,0.62554113,0.86743516,0.77076125,0.10896382,0.483173076,0.341346153,0.175480769,0.45673077,0.31971154,0.22355769,0.7339105099982388,-4.619754819199443,-2.799999974668026,-1.5624363403767347,-15.083982780575752,-1.311692550778389,-1.7301139363052909
Riley Adams,WSN,2023,27.0,44.0,158.0,143.0,39.0,4.0,0.272727272,0.331210191,0.475524475,0.806734666,0.202797203,0.368421052,0.3444630199936545,0.28278062881961946,116.20132087684037,0.41174236075706083,0.284810126,0.069620253,0.05,0.41,89.92222024936869,110.8,18.08080808080808,0.37878788,0.73305085,0.52650177,0.592,0.86705202,0.75167785,0.13051146,0.343434343,0.404040404,0.252525252,0.38,0.28,0.34,2.39285714,0.018776013050228357,0.30000001192092896,-0.25426907977089286,-4.431446060538292,-7.209795221686363,3.1899930675400627
Corey Julks,HOU,2023,27.0,93.0,323.0,298.0,73.0,6.0,0.244966442,0.297213622,0.352348993,0.649562615,0.107382551,0.305936073,0.28559610330652524,0.29411024484575166,79.49637796556931,0.40751989613003925,0.232198142,0.068111455,0.04888889,0.36,87.85446602957589,111.2,16.995535714285715,0.31882202,0.65688073,0.45776772,0.64658635,0.84916201,0.7660626,0.10700829,0.36,0.386666666,0.253333333,0.39555556,0.34666667,0.25777778,4.977475786297323,1.1789555493742228,-0.30000000447034836,1.1481765192002058,-0.16780757904052734,4.688158988952637,-6.756387166661346
